,jd,ssn
1749-07-01,2360050.0,135.9
1749-08-01,2360082.0,137.9
1749-09-01,2360112.0,140.2
1749-10-01,2360142.0,143.8
1749-11-01,2360174.0,146.4
1749-12-01,2360204.0,147.9
1750-01-01,2360234.0,148.4
1750-02-01,2360266.0,150.3
1750-03-01,2360294.0,153.9
1750-04-01,2360324.0,154.3
1750-05-01,2360354.0,147.0
1750-06-01,2360386.0,139.7
1750-07-01,2360416.0,138.8
1750-08-01,2360446.0,136.3
1750-09-01,2360478.0,131.0
1750-10-01,2360508.0,125.7
1750-11-01,2360538.0,121.5
1750-12-01,2360568.0,116.0
1751-01-01,2360600.0,111.3
1751-02-01,2360630.0,106.9
1751-03-01,2360658.0,99.2
1751-04-01,2360690.0,91.6
1751-05-01,2360720.0,86.2
1751-06-01,2360750.0,81.6
1751-07-01,2360780.0,77.0
1751-08-01,2360812.0,75.0
1751-09-01,2360842.0,77.3
1751-10-01,2360872.0,79.2
1751-11-01,2360904.0,79.4
1751-12-01,2360934.0,78.5
1752-01-01,2360964.0,78.6
1752-02-01,2360996.0,77.3
1752-03-01,2361024.0,75.5
1752-04-01,2361056.0,77.3
1752-05-01,2361086.0,79.6
1752-06-01,2361116.0,79.9
1752-07-01,2361146.0,80.3
1752-08-01,2361178.0,79.7
1752-09-01,2361208.0,76.7
1752-10-01,2361238.0,73.4
1752-11-01,2361270.0,70.3
1752-12-01,2361300.0,68.1
1753-01-01,2361330.0,63.6
1753-02-01,2361362.0,60.4
1753-03-01,2361390.0,61.1
1753-04-01,2361420.0,59.7
1753-05-01,2361450.0,57.0
1753-06-01,2361482.0,53.4
1753-07-01,2361512.0,48.1
1753-08-01,2361542.0,43.0
1753-09-01,2361574.0,37.9
1753-10-01,2361604.0,33.2
1753-11-01,2361634.0,30.4
1753-12-01,2361664.0,29.0
1754-01-01,2361696.0,28.5
1754-02-01,2361726.0,26.4
1754-03-01,2361754.0,23.2
1754-04-01,2361786.0,21.7
1754-05-01,2361816.0,21.2
1754-06-01,2361846.0,20.5
1754-07-01,2361876.0,21.1
1754-08-01,2361908.0,22.3
1754-09-01,2361938.0,23.3
1754-10-01,2361968.0,23.1
1754-11-01,2362000.0,21.2
1754-12-01,2362030.0,17.9
1755-01-01,2362060.0,15.3
1755-02-01,2362092.0,14.0
1755-03-01,2362120.0,14.0
1755-04-01,2362150.0,14.7
1755-05-01,2362180.0,14.2
1755-06-01,2362212.0,14.8
1755-07-01,2362242.0,16.1
1755-08-01,2362272.0,16.0
1755-09-01,2362304.0,15.6
1755-10-01,2362334.0,15.7
1755-11-01,2362364.0,16.8
1755-12-01,2362394.0,18.5
1756-01-01,2362426.0,19.1
1756-02-01,2362456.0,19.0
1756-03-01,2362486.0,18.8
1756-04-01,2362516.0,17.7
1756-05-01,2362546.0,17.7
1756-06-01,2362578.0,17.7
1756-07-01,2362608.0,17.1
1756-08-01,2362638.0,18.2
1756-09-01,2362670.0,20.6
1756-10-01,2362700.0,23.5
1756-11-01,2362730.0,26.7
1756-12-01,2362760.0,28.5
1757-01-01,2362792.0,29.9
1757-02-01,2362822.0,34.6
1757-03-01,2362850.0,39.6
1757-04-01,2362882.0,42.8
1757-05-01,2362912.0,47.4
1757-06-01,2362942.0,52.4
1757-07-01,2362972.0,55.7
1757-08-01,2363004.0,59.5
1757-09-01,2363034.0,63.2
1757-10-01,2363064.0,67.7
1757-11-01,2363096.0,71.2
1757-12-01,2363126.0,74.0
1758-01-01,2363156.0,77.6
1758-02-01,2363188.0,78.0
1758-03-01,2363216.0,78.7
1758-04-01,2363246.0,80.7
1758-05-01,2363276.0,79.5
1758-06-01,2363308.0,78.7
1758-07-01,2363338.0,80.1
1758-08-01,2363368.0,80.3
1758-09-01,2363400.0,79.6
1758-10-01,2363430.0,77.6
1758-11-01,2363460.0,76.1
1758-12-01,2363490.0,76.6
1759-01-01,2363522.0,77.4
1759-02-01,2363552.0,80.2
1759-03-01,2363580.0,83.5
1759-04-01,2363612.0,86.0
1759-05-01,2363642.0,87.8
1759-06-01,2363672.0,89.0
1759-07-01,2363702.0,91.3
1759-08-01,2363734.0,93.7
1759-09-01,2363764.0,96.7
1759-10-01,2363794.0,99.4
1759-11-01,2363826.0,101.8
1759-12-01,2363856.0,103.3
1760-01-01,2363886.0,104.2
1760-02-01,2363918.0,105.5
1760-03-01,2363946.0,104.7
1760-04-01,2363978.0,103.0
1760-05-01,2364008.0,103.3
1760-06-01,2364038.0,104.5
1760-07-01,2364068.0,105.0
1760-08-01,2364100.0,107.3
1760-09-01,2364130.0,109.9
1760-10-01,2364160.0,111.3
1760-11-01,2364192.0,114.7
1760-12-01,2364222.0,120.7
1761-01-01,2364252.0,126.1
1761-02-01,2364284.0,129.2
1761-03-01,2364312.0,133.0
1761-04-01,2364342.0,138.4
1761-05-01,2364372.0,143.1
1761-06-01,2364404.0,144.1
1761-07-01,2364434.0,141.3
1761-08-01,2364464.0,138.2
1761-09-01,2364496.0,134.5
1761-10-01,2364526.0,131.3
1761-11-01,2364556.0,125.8
1761-12-01,2364586.0,119.6
1762-01-01,2364618.0,113.8
1762-02-01,2364648.0,108.0
1762-03-01,2364676.0,104.2
1762-04-01,2364708.0,100.6
1762-05-01,2364738.0,98.4
1762-06-01,2364768.0,99.7
1762-07-01,2364798.0,102.8
1762-08-01,2364830.0,100.8
1762-09-01,2364860.0,97.2
1762-10-01,2364890.0,94.5
1762-11-01,2364922.0,92.1
1762-12-01,2364952.0,88.8
1763-01-01,2364982.0,87.3
1763-02-01,2365014.0,85.9
1763-03-01,2365042.0,83.0
1763-04-01,2365072.0,81.3
1763-05-01,2365102.0,78.6
1763-06-01,2365134.0,76.3
1763-07-01,2365164.0,75.4
1763-08-01,2365194.0,77.6
1763-09-01,2365226.0,79.9
1763-10-01,2365256.0,80.4
1763-11-01,2365286.0,81.3
1763-12-01,2365316.0,81.7
1764-01-01,2365348.0,79.7
1764-02-01,2365378.0,78.2
1764-03-01,2365408.0,75.7
1764-04-01,2365438.0,71.7
1764-05-01,2365468.0,68.0
1764-06-01,2365500.0,63.1
1764-07-01,2365530.0,58.1
1764-08-01,2365560.0,53.3
1764-09-01,2365592.0,49.9
1764-10-01,2365622.0,48.0
1764-11-01,2365652.0,45.4
1764-12-01,2365682.0,43.1
1765-01-01,2365714.0,42.2
1765-02-01,2365744.0,41.9
1765-03-01,2365772.0,41.1
1765-04-01,2365804.0,39.2
1765-05-01,2365834.0,37.4
1765-06-01,2365864.0,35.7
1765-07-01,2365894.0,34.0
1765-08-01,2365926.0,32.1
1765-09-01,2365956.0,31.9
1765-10-01,2365986.0,31.6
1765-11-01,2366018.0,30.9
1765-12-01,2366048.0,30.2
1766-01-01,2366078.0,27.4
1766-02-01,2366110.0,24.0
1766-03-01,2366138.0,21.4
1766-04-01,2366168.0,19.9
1766-05-01,2366198.0,18.7
1766-06-01,2366230.0,18.6
1766-07-01,2366260.0,20.1
1766-08-01,2366290.0,22.5
1766-09-01,2366322.0,24.2
1766-10-01,2366352.0,26.6
1766-11-01,2366382.0,28.6
1766-12-01,2366412.0,30.9
1767-01-01,2366444.0,34.3
1767-02-01,2366474.0,38.2
1767-03-01,2366502.0,43.4
1767-04-01,2366534.0,48.8
1767-05-01,2366564.0,54.9
1767-06-01,2366594.0,60.7
1767-07-01,2366624.0,64.9
1767-08-01,2366656.0,69.2
1767-09-01,2366686.0,71.9
1767-10-01,2366716.0,72.8
1767-11-01,2366748.0,76.8
1767-12-01,2366778.0,83.2
1768-01-01,2366808.0,88.4
1768-02-01,2366840.0,92.4
1768-03-01,2366868.0,96.4
1768-04-01,2366900.0,101.0
1768-05-01,2366930.0,105.8
1768-06-01,2366960.0,112.4
1768-07-01,2366990.0,117.8
1768-08-01,2367022.0,119.1
1768-09-01,2367052.0,120.2
1768-10-01,2367082.0,125.2
1768-11-01,2367114.0,128.7
1768-12-01,2367144.0,129.6
1769-01-01,2367174.0,135.4
1769-02-01,2367206.0,143.7
1769-03-01,2367234.0,152.5
1769-04-01,2367264.0,163.2
1769-05-01,2367294.0,172.8
1769-06-01,2367326.0,176.8
1769-07-01,2367356.0,178.9
1769-08-01,2367386.0,186.4
1769-09-01,2367418.0,193.0
1769-10-01,2367448.0,190.9
1769-11-01,2367478.0,187.5
1769-12-01,2367508.0,186.5
1770-01-01,2367540.0,185.1
1770-02-01,2367570.0,184.9
1770-03-01,2367598.0,182.2
1770-04-01,2367630.0,175.3
1770-05-01,2367660.0,170.4
1770-06-01,2367690.0,168.7
1770-07-01,2367720.0,163.3
1770-08-01,2367752.0,151.9
1770-09-01,2367782.0,142.9
1770-10-01,2367812.0,141.5
1770-11-01,2367844.0,148.2
1770-12-01,2367874.0,156.5
1771-01-01,2367904.0,156.1
1771-02-01,2367936.0,148.4
1771-03-01,2367964.0,143.5
1771-04-01,2367994.0,142.3
1771-05-01,2368024.0,139.1
1771-06-01,2368056.0,136.4
1771-07-01,2368086.0,140.5
1771-08-01,2368116.0,148.1
1771-09-01,2368148.0,150.1
1771-10-01,2368178.0,150.9
1771-11-01,2368208.0,144.8
1771-12-01,2368238.0,132.5
1772-01-01,2368270.0,128.9
1772-02-01,2368300.0,129.4
1772-03-01,2368330.0,125.7
1772-04-01,2368360.0,121.4
1772-05-01,2368390.0,117.9
1772-06-01,2368422.0,113.0
1772-07-01,2368452.0,107.6
1772-08-01,2368482.0,100.1
1772-09-01,2368514.0,97.2
1772-10-01,2368544.0,94.5
1772-11-01,2368574.0,90.6
1772-12-01,2368604.0,88.8
1773-01-01,2368636.0,83.4
1773-02-01,2368666.0,76.9
1773-03-01,2368694.0,72.4
1773-04-01,2368726.0,67.3
1773-05-01,2368756.0,62.3
1773-06-01,2368786.0,59.4
